name,full_name,id,symbol
Adel,Adel Kalemcilik Ticaret ve Sanayi AS,19255,ADEL
Adel,Adel Kalemcilik Ticaret ve Sanayi AS,19255,ADEL
Adel,Adel Kalemcilik Ticaret ve Sanayi AS,19255,ADEL
Adese,Adese Alisveris Merkezleri Ticaret AS,19256,ADESE
Anadolu Efes Malt,Anadolu Efes Biracilik ve Malt Sanayi AS,19258,AEFES
Afyon Cimento,Afyon Cimento Sanayi TAS,19260,AFYON
Atakule GYO,Atakule Gayrimenkul Yatirim Ortakligi AS,19261,AGYO
Ahlatci Dogal Gaz,Ahlatci Dogal Gaz Dagitim ve Enerji ve Yatirim AS,1198405,AHGAZ
Akbank TAS,Akbank TAS,19263,AKBNK
Akcansa,Akcansa Cimento Sanayi ve Ticaret AS,19265,AKCNS
Akenerji,Akenerji Elektrik Uretim AS,19266,AKENR
Akfen GYO,Akfen Gayrimenkul Yatirim Ortakligi AS,19268,AKFGY
AK Sigorta,AK Sigorta AS,19269,AKGRT
Akmerkez GYO,Akmerkez Gayrimenkul Yatirim Ortakligi AS,19270,AKMGY
Aksa Akrilik,Aksa Akrilik Kimya Sanayi AS,19271,AKSA
Aksa Enerji Uretim,Aksa Enerji Uretim AS,19272,AKSEN
Aksu Enerji ve Ticaret,Aksu Enerji ve Ticaret AS,19273,AKSUE
Alarko Holding,Alarko Holding AS,19274,ALARK
Albaraka Turk,Albaraka Turk Katilim Bankasi AS,19275,ALBRK
Alarko Carrier,Alarko Carrier Sanayi ve Ticaret AS,19276,ALCAR
Alcatel Lucent,Alcatel Lucent Teletas Telekomunikasyon AS,19277,ALCTL
Alarko GYO,Alarko Gayrimenkul Yatirim Ortakligi AS,19278,ALGYO
Alkim Kagit,Alkim Kagit Sanayi ve Ticaret AS,19279,ALKA
Alkim Kimya,Alkim Alkali Kimya AS,19280,ALKIM
Altinyag,Altinyag Kombinalari AS,19283,ALMAD
Anel Elektrik,Anel Elektrik Proje Taahhut ve Ticaret AS,19285,ANELE
Anadolu Hayat,Anadolu Hayat Emeklilik AS,19287,ANHYT
Anadolu Sigorta,Anadolu Anonim Turk Sigorta Sti,19288,ANSGR
Arcelik AS,Arcelik AS,19289,ARCLK
Arena Bilgisayar,Arena Bilgisayar Sanayi ve Ticaret AS,19290,ARENA
Ingram Micro Bilisim,Ingram Micro Bilisim Sistemleri AS,19292,INGRM
